"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"gene_1"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_100"	49.2101123549579	-0.234718716391338	0.149869666109995	-1.56615226071879	0.117312975831942	0.93667218237538
"gene_1000"	74.2971723925526	-0.017505392615417	0.0890358301523364	-0.196610651975346	0.844132234246516	0.982610771977922
"gene_10000"	6.3651375364749	-0.00393090450093423	0.156075811460239	-0.0251858661771921	0.979906710538094	0.999438645033072
"gene_10001"	1.64056991005279	0.18184251875682	0.323642966069154	0.56186148880481	0.574210394158037	0.948849520636125
"gene_10002"	2.60395375317294	-0.155926796770577	0.245099971758146	-0.636176314717975	0.524661509050628	0.939018301830037
"gene_10003"	2.68746811543161	0.156074788367682	0.257605158644459	0.605868256633373	0.54460223988149	0.942850173185603
"gene_10004"	65.8555995070551	-0.0995521201874102	0.0937490473953126	-1.06190007208956	0.288281052364678	0.93667218237538
"gene_10005"	7.02366998420747	-0.246751080831547	0.188283872618472	-1.31052690493333	0.190017648576636	0.93667218237538
"gene_10006"	24.9083452946394	-0.232229488185179	0.156882138633198	-1.48027997456198	0.138798545163901	0.93667218237538
"gene_10007"	1.24406317700001	0.390895744515509	0.383773309709114	1.01855896339377	0.308412394675102	0.93667218237538
"gene_10008"	67.0042809298788	-0.152038928114398	0.079815458522137	-1.90488072022075	0.0567955779493626	0.93667218237538
"gene_10009"	2.21453903180952	0.0470617542046602	0.240413279774241	0.195753555081705	0.844803064334404	0.982610771977922
"gene_1001"	4.55875526734709	-0.161858111056553	0.178568401221659	-0.906420788612183	0.364713173588835	0.93667218237538
"gene_10010"	1.49718357353374	-0.0849676541150129	0.289242632022437	-0.293759096025727	0.768941993314485	0.971788552090215
"gene_10011"	10.3948725340453	0.0613299636287574	0.152342282541392	0.402580049383821	0.687257188830509	0.960727249024193
"gene_10012"	2.70606010496063	-0.142061016507257	0.286709750856352	-0.495487216890761	0.620256243208569	0.951790715998239
"gene_10013"	7.60628528668239	0.0537517524911243	0.192321015408057	0.279489749869906	0.77986900315839	0.973656621861971
"gene_10014"	16.5307940278645	0.226897624585421	0.173399220720587	1.30852736040285	0.190694500693191	0.93667218237538
"gene_10015"	2.76015718960595	-0.175465436775241	0.258293038578716	-0.679327006801102	0.496930688143279	0.93667218237538
"gene_10016"	10.4883035715114	-0.166616172211622	0.132000449982485	-1.26223942595445	0.206862645870274	0.93667218237538
"gene_10017"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10018"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10019"	2.06694730790282	0.114896861529865	0.279963113578134	0.410399998990575	0.681512547022436	0.960727249024193
"gene_1002"	7.8680060006742	-0.020423322880502	0.154118412312016	-0.132517085882994	0.894575309622549	0.993773189486212
"gene_10020"	1.11298294186145	0.196647381886401	0.380967128349055	0.516179395158276	0.605729119936989	0.950119626108115
"gene_10021"	1.123915474206	0.159096539548844	0.389999731136454	0.407940126228393	0.683317632584182	0.960727249024193
"gene_10022"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10023"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10024"	5.91957317262889	-0.0887385088132947	0.164725520634951	-0.538705286656514	0.590090225316353	0.948849520636125
"gene_10025"	1.84512037524418	-0.0556808089841655	0.278722227153055	-0.199771685067619	0.841659146969603	0.982546158991738
"gene_10026"	11.1995928616349	0.0215076065212989	0.151636559988422	0.14183654999125	0.887209113192096	0.993305345218241
"gene_10027"	1.26675653438805	-0.115860168107302	0.339376234559371	-0.34139151864222	0.732808859159878	0.966970418376459
"gene_10028"	18.149557198527	0.0842479660030076	0.114295284456113	0.737107977848	0.461056688017165	0.93667218237538
"gene_10029"	15.8002762480916	-0.172192106387973	0.115634053720723	-1.48911242706969	0.136457765927655	0.93667218237538
"gene_1003"	6.23442419637058	0.289654270604779	0.165744664300748	1.74759333476457	0.0805344703147159	0.93667218237538
"gene_10030"	2.88827150100936	0.171658596400069	0.208281398465673	0.824166717069363	0.409844835596467	0.93667218237538
"gene_10031"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10032"	2.99956017034536	-0.347795106964249	0.215028078508215	-1.61744042627885	0.105783245350724	0.93667218237538
"gene_10033"	1.1078898560234	0.267937803668359	0.397319957380749	0.674362811862471	0.500080679510762	0.93667218237538
"gene_10034"	1.46858456983589	0.249149799696981	0.296173193532909	0.84123008137567	0.400219051489154	0.93667218237538
"gene_10035"	2.27668888109191	-0.145449264297429	0.2990452731717	-0.486378743776089	0.6266986585311	0.953716416738217
"gene_10036"	49.6114763014907	-0.00777546040498441	0.0844280962109556	-0.0920956500731264	0.926622044504922	0.994162264486937
"gene_10037"	5.04009437541854	0.192862760885264	0.193590820267434	0.996239184372669	0.319133944788704	0.93667218237538
"gene_10038"	18.0827463518597	0.0754288620610582	0.10892565750311	0.692480208888383	0.488635810405868	0.93667218237538
"gene_10039"	42.0140284631605	-0.130112366314066	0.0886349247267227	-1.46795821980135	0.142115572136008	0.93667218237538
"gene_1004"	24.7039194628058	0.10841455194996	0.117697412480025	0.921129442572574	0.356982850146227	0.93667218237538
"gene_10040"	1.96843097934007	0.178578959709133	0.228298259262599	0.782217789508955	0.434086591475805	0.93667218237538
"gene_10041"	1.6560161223056	-0.000635864958629857	0.304555423200139	-0.00208784644827026	0.998334140763873	0.999801581031413
"gene_10042"	1.1481858189957	0.167933962561714	0.396148453873264	0.423916743634293	0.671626532667033	0.960727249024193
"gene_10043"	1.08719654455047	0.373001615252986	0.398856359326511	0.93517780657382	0.34969667395421	0.93667218237538
"gene_10044"	2.6140052414976	-0.0456777419227317	0.231964743375781	-0.196916743717101	0.843892690625515	0.982610771977922
"gene_10045"	161.010925800612	0.0382802588001275	0.0831518089190489	0.460365917443776	0.645253594174292	0.955798917689732
"gene_10046"	7.93373761583935	-0.0378685565979877	0.136472131173272	-0.277481975788212	0.781410043894593	0.973656621861971
"gene_10047"	1.11346380239267	0.315737051922839	0.394829218111502	0.799680057704527	0.423896190049368	0.93667218237538
"gene_10048"	16.1375949516814	-0.160708800566733	0.114173077621226	-1.40758928387559	0.159252722424631	0.93667218237538
"gene_10049"	1.37207641798774	0.0549579115996069	0.319715746112541	0.171896167979983	0.863519159254243	0.986411975708195
"gene_1005"	17.1674401943765	-0.0782257366413841	0.113993554078065	-0.686229473885986	0.492568414404562	0.93667218237538
"gene_10050"	176.525018849332	0.0851062686412838	0.208254473489229	0.408664780234291	0.682785683653293	0.960727249024193
"gene_10051"	1.5659001268411	0.2687522893105	0.297593703344696	0.903084595843111	0.366480998829397	0.93667218237538
"gene_10052"	12.9858119027203	-0.140546059250829	0.241631275517703	-0.581655081486055	0.560799033278411	0.94782238669545
"gene_10053"	5.29703854729815	0.142968262063254	0.172046424283314	0.830986535516859	0.405981235750749	0.93667218237538
"gene_10054"	1.07637453790412	0.280069999515431	0.404218935913117	0.69286709412255	0.488392961771146	0.93667218237538
"gene_10055"	1.24962726720989	0.401127106787551	0.358563854383352	1.11870480497092	0.263266094645639	0.93667218237538
"gene_10056"	9.85979683106193	0.0332690682806686	0.214356391286169	0.155204461509402	0.876660131135184	0.989234801624657
"gene_10057"	20.192398213324	-0.0942823235077122	0.119490563649427	-0.789035724898967	0.430091126737591	0.93667218237538
"gene_10058"	12.4595352318927	0.000106540326974524	0.129048979498057	0.000825580546153236	0.999341282103354	0.999801581031413
"gene_10059"	1.35824069716279	0.0637689424005358	0.34598098947479	0.184313428600048	0.853767579897005	0.984644038689341
"gene_1006"	16.6400193064576	0.0623114378351282	0.105265012326003	0.591948231024297	0.55388525521355	0.945335289234722
"gene_10060"	19.8138605933684	-0.0835995828295139	0.111249364770851	-0.751461215097367	0.452375133996139	0.93667218237538
"gene_10061"	7.36657043681181	0.105569732978454	0.251289273932095	0.420112372193737	0.674403364898206	0.960727249024193
"gene_10062"	70.1826974298628	-0.208160105334821	0.0941163757362538	-2.2117309948075	0.0269852575564114	0.93667218237538
"gene_10063"	1.11144184463775	0.157304965420714	0.389687549006553	0.403669467556093	0.686455794706276	0.960727249024193
"gene_10064"	2.79805169456706	0.0745758598057495	0.301508339420476	0.247342610652463	0.804643084470002	0.977455161260925
"gene_10065"	82.3950197768913	-0.0285925494546043	0.0882476818999312	-0.3240034054042	0.745935456050867	0.968070009314712
"gene_10066"	2.38292490692063	0.118601328280217	0.260024280019312	0.456116360639123	0.648306305876762	0.955798917689732
"gene_10067"	1.49187501756749	-0.102254329348024	0.323763107578016	-0.315830701382134	0.75213101360928	0.968973519106604
"gene_10068"	24.585405154306	0.154371735598853	0.106214833533682	1.45339149404118	0.146115086803812	0.93667218237538
