"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"gene_1"	1.07637453790412	0.0888193123818687	0.370626713779745	0.239646277722582	0.810604485502364	0.999727190789638
"gene_10"	1.07637453790412	0.0888193123818687	0.370626713779745	0.239646277722582	0.810604485502364	0.999727190789638
"gene_100"	49.2101123549579	-0.08500657096961	0.129052903258415	-0.658695533562644	0.510091301689453	0.999727190789638
"gene_1000"	74.2971723925526	-0.098278045598292	0.0844834414035134	-1.16328175043074	0.244715207518748	0.999727190789638
"gene_10000"	6.3651375364749	0.16265869375933	0.153997272123454	1.05624399391265	0.290856756054511	0.999727190789638
"gene_10001"	1.64056991005279	-0.0775069816603589	0.272427917201495	-0.284504548786873	0.77602374857997	0.999727190789638
"gene_10002"	2.60395375317294	0.226843290144685	0.2259229532434	1.00407367595046	0.315343102673868	0.999727190789638
"gene_10003"	2.68746811543161	0.408276728254989	0.223329925962799	1.8281326449864	0.0675296466315988	0.999727190789638
"gene_10004"	65.8555995070551	-0.0887810869519454	0.0921927973915206	-0.962993742069822	0.335550663751488	0.999727190789638
"gene_10005"	7.02366998420747	-0.0402295343965596	0.148265968559444	-0.271333568906141	0.786134490260168	0.999727190789638
"gene_10006"	24.9083452946394	-0.031369291737233	0.13812548978424	-0.227107189167138	0.820340393955423	0.999727190789638
"gene_10007"	1.24406317700001	0.256417160846825	0.329217872982467	0.77886767970365	0.436057664560232	0.999727190789638
"gene_10008"	67.0042809298788	-0.0190158311050889	0.0777556755676442	-0.244558753637809	0.806798104151433	0.999727190789638
"gene_10009"	2.21453903180952	-0.195594310733593	0.259341484795164	-0.754196001029606	0.450731538498251	0.999727190789638
"gene_1001"	4.55875526734709	0.0606152460816641	0.189870745858053	0.319244788383462	0.749540896194212	0.999727190789638
"gene_10010"	1.49718357353374	0.120917151121905	0.306319071937778	0.394742483244616	0.693032946446778	0.999727190789638
"gene_10011"	10.3948725340453	-0.146059383463795	0.152244441086635	-0.959374164477239	0.337370285486681	0.999727190789638
"gene_10012"	2.70606010496063	-0.511505282290336	0.226584067549832	-2.25746358877524	0.0239791222003302	0.999727190789638
"gene_10013"	7.60628528668239	0.0813829458978251	0.15789250833785	0.515432598763244	0.606250757645271	0.999727190789638
"gene_10014"	16.5307940278645	-0.0328964275890339	0.132608130786223	-0.248072477863866	0.80407832962847	0.999727190789638
"gene_10015"	2.76015718960595	0.424518864152883	0.220348269308323	1.92658134091752	0.0540318258624767	0.999727190789638
"gene_10016"	10.4883035715114	-0.167642261607439	0.142066787431671	-1.18002430151431	0.237990549699101	0.999727190789638
"gene_10017"	1.07637453790412	0.0888193123818687	0.370626713779745	0.239646277722582	0.810604485502364	0.999727190789638
"gene_10018"	1.07637453790412	0.0888193123818687	0.370626713779745	0.239646277722582	0.810604485502364	0.999727190789638
