GeneID	GGHNY	GGHNZ	GGHOA	GGHOH	GGHON	GGHOO	GGHOP	GGHOS	GGHOT	GGHOB	GGHOC	GGHOG
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	51	15	8	18	84	122	19	51	48
gene_1000	0	0	0	158	77	41	7	119	114	24	42	87
gene_10000	0	0	0	10	8	5	0	14	8	4	6	8
gene_10001	0	0	0	0	1	0	0	2	2	0	0	1
gene_10002	0	0	0	0	0	1	0	3	2	0	2	1
gene_10003	0	0	0	2	0	0	0	5	3	1	1	0
gene_10004	0	0	0	153	90	63	17	109	136	27	43	60
gene_10005	0	0	0	9	1	0	2	11	15	4	5	9
gene_10006	0	0	0	30	6	11	8	37	65	13	18	27
gene_10007	0	0	0	0	0	0	0	1	0	0	0	0
gene_10008	0	0	0	173	79	51	19	106	131	23	60	66
gene_10009	0	0	0	6	0	2	0	1	4	0	1	0
gene_1001	0	0	0	2	2	7	1	3	9	2	2	3
gene_10010	0	0	0	1	0	0	0	2	0	0	0	1
gene_10011	0	0	0	15	8	9	2	14	24	1	5	11
gene_10012	0	0	0	0	0	1	0	5	3	3	0	1
gene_10013	0	0	0	7	2	0	2	13	13	3	12	4
gene_10014	0	0	0	25	12	6	3	29	62	6	15	18
gene_10015	0	0	0	6	0	1	0	2	3	0	1	2
gene_10016	0	0	0	16	12	4	6	22	14	2	3	10
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	0	1	0	1	2	0	0	0
gene_1002	0	0	0	9	10	4	1	17	15	1	11	6
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	18	9	3	2	7	10	0	2	6
gene_10025	0	0	0	0	1	0	0	2	0	0	0	2
gene_10026	0	0	0	55	12	16	1	13	10	4	5	11
gene_10027	0	0	0	0	0	0	0	0	0	0	0	0
gene_10028	0	0	0	33	11	12	6	28	23	14	16	14
gene_10029	0	0	0	30	18	11	6	16	35	2	15	12
gene_1003	0	0	0	5	3	7	2	10	10	2	7	2
gene_10030	0	0	0	3	5	1	2	3	8	0	0	0
gene_10031	0	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	3	1	1	0	4	2	0	1	5
gene_10033	0	0	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	0	3	0	3	0	1	0	1	0	3
gene_10035	0	0	0	4	1	0	0	3	2	0	1	0
gene_10036	0	0	0	104	50	31	15	96	86	17	28	53
gene_10037	0	0	0	5	3	1	0	11	11	3	0	5
gene_10038	0	0	0	35	10	7	3	26	31	8	13	17
gene_10039	0	0	0	116	53	12	11	68	79	11	27	27
gene_1004	0	0	0	42	5	12	3	58	44	9	20	35
gene_10040	0	0	0	6	2	0	0	1	5	0	0	0
gene_10041	0	0	0	1	0	0	0	1	1	0	0	1
gene_10042	0	0	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	0	3	1	1	0	1	6	0	4	4
gene_10045	0	0	0	381	153	167	45	219	273	60	137	180
gene_10046	0	0	0	13	4	6	0	10	11	2	6	6
gene_10047	0	0	0	0	0	0	0	1	0	0	0	0
gene_10048	0	0	0	33	22	16	2	27	28	4	7	12
gene_10049	0	0	0	0	0	0	0	0	0	0	0	0
gene_1005	0	0	0	33	7	16	6	18	34	7	14	9
gene_10050	0	0	0	80	40	21	40	427	338	102	189	158
gene_10051	0	0	0	1	1	2	0	1	0	0	0	0
gene_10052	0	0	0	9	7	3	4	32	28	7	9	7
gene_10053	0	0	0	4	10	1	2	7	9	2	3	1
gene_10054	0	0	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	0	0	0	0	0
gene_10056	0	0	0	12	2	2	0	21	35	3	1	14
gene_10057	0	0	0	48	27	20	4	28	30	10	9	10
gene_10058	0	0	0	17	16	9	0	18	32	2	14	7
gene_10059	0	0	0	0	0	0	0	0	0	0	0	0
gene_1006	0	0	0	37	23	9	1	22	22	8	4	21
gene_10060	0	0	0	31	15	15	7	44	29	10	6	21
gene_10061	0	0	0	10	5	3	1	10	15	1	7	8
gene_10062	0	0	0	143	69	32	37	113	143	31	40	63
gene_10063	0	0	0	0	0	0	0	0	0	0	0	0
gene_10064	0	0	0	1	1	1	0	1	6	0	3	4
gene_10065	0	0	0	206	79	44	16	139	150	24	42	79
gene_10066	0	0	0	3	0	2	0	4	3	0	0	2
gene_10067	0	0	0	1	0	0	0	3	0	0	1	1
gene_10068	0	0	0	46	28	22	7	35	48	9	19	18
gene_10069	0	0	0	8	4	2	3	12	16	4	3	3
gene_1007	0	0	0	15	13	8	1	18	16	4	2	14
gene_10070	0	0	0	4	2	0	0	5	5	1	0	0
gene_10071	0	0	0	12	6	4	0	14	22	5	4	9
gene_10072	0	0	0	133	62	36	12	73	83	11	33	39
gene_10073	0	0	0	2	2	0	0	4	1	0	0	0
gene_10074	0	0	0	0	0	0	0	0	0	0	0	0
gene_10075	0	0	0	205	119	80	17	141	155	41	68	113
gene_10076	0	0	0	166	101	54	13	118	152	27	50	68
gene_10077	0	0	0	51	27	17	1	30	25	10	8	14
gene_10078	0	0	0	15	7	4	4	17	12	3	6	5
gene_10079	0	0	0	8	8	5	0	20	6	0	1	2
gene_1008	0	0	0	5	0	0	0	1	0	0	0	0
gene_10080	0	0	0	0	0	0	0	0	0	0	0	0
gene_10081	0	0	0	7	2	4	1	3	14	0	6	3
gene_10082	0	0	0	84	17	41	8	80	39	13	8	34
gene_10083	0	0	0	88	37	30	4	106	112	15	40	50
gene_10084	0	0	0	0	0	0	0	0	0	0	0	0
gene_10085	0	0	0	1	1	0	0	0	1	0	1	1
gene_10086	0	0	0	0	1	1	0	0	0	0	0	0
gene_10087	0	0	0	0	0	0	0	0	0	0	0	0
gene_10088	0	0	0	0	0	0	0	0	0	0	0	0
gene_10089	0	0	0	6	2	1	0	3	2	0	0	0
gene_1009	0	0	0	2	3	0	0	1	0	0	0	0
gene_10090	0	0	0	58	20	25	8	54	53	16	25	31
gene_10091	0	0	0	214	95	56	19	238	290	46	74	129
gene_10092	0	0	0	37	21	8	0	21	17	4	8	21
gene_10093	0	0	0	62	28	26	6	49	56	28	23	34
gene_10094	0	0	0	58	17	23	3	27	47	2	11	14
gene_10095	0	0	0	22	11	3	2	8	14	4	3	8
gene_10096	0	0	0	14	7	6	1	14	6	2	2	6
gene_10097	0	0	0	14	8	3	0	6	8	0	5	5
gene_10098	0	0	0	0	0	0	0	0	0	0	0	0
gene_10099	0	0	0	0	0	0	0	1	0	0	0	0
gene_101	0	0	0	5	3	2	0	7	3	0	4	4
gene_1010	0	0	0	55	35	19	4	82	65	13	17	26
gene_10100	0	0	0	7	1	1	1	4	6	2	0	1
gene_10101	0	0	0	0	0	0	0	0	0	0	0	0
gene_10102	0	0	0	0	0	0	0	0	0	0	0	0
gene_10103	0	0	0	0	0	0	0	2	0	0	0	1
gene_10104	0	0	0	0	0	0	0	0	0	0	0	0
gene_10105	0	0	0	1	1	0	2	1	1	0	1	2
gene_10106	0	0	0	2	0	0	0	0	0	0	0	0
gene_10107	0	0	0	41	19	19	11	57	39	8	10	23
gene_10108	0	0	0	0	0	0	0	0	0	0	0	0
gene_10109	0	0	0	1	0	0	0	2	6	0	0	0
gene_1011	0	0	0	0	0	0	0	0	0	0	0	0
gene_10110	0	0	0	1	2	0	0	3	2	0	1	1
gene_10111	0	0	0	3	0	0	1	1	0	1	1	4
gene_10112	0	0	0	33	14	9	1	15	11	4	2	9
gene_10113	0	0	0	10	5	2	2	8	7	3	2	3
gene_10114	0	0	0	0	0	0	0	0	0	0	0	0
gene_10115	0	0	0	5	3	5	0	3	0	0	2	4
gene_10116	0	0	0	11	12	7	0	4	10	0	0	1
gene_10117	0	0	0	1	0	1	0	1	3	1	1	0
gene_10118	0	0	0	18	11	10	1	8	17	4	9	5
gene_10119	0	0	0	50	20	7	6	40	36	6	21	22
gene_1012	0	0	0	96	63	20	14	52	71	15	16	28
gene_10120	0	0	0	2	3	0	0	2	6	1	0	1
gene_10121	0	0	0	4	0	0	1	5	5	0	4	0
gene_10122	0	0	0	169	142	78	8	89	112	19	28	79
gene_10123	0	0	0	18	5	7	6	24	20	1	11	14
gene_10124	0	0	0	5	2	0	0	3	7	0	6	6
gene_10125	0	0	0	103	46	31	18	101	118	35	33	60
gene_10126	0	0	0	14	7	7	1	17	22	4	13	7
gene_10127	0	0	0	0	0	0	0	0	0	0	0	0
gene_10128	0	0	0	25	14	2	13	54	37	18	35	30
gene_10129	0	0	0	2	1	1	0	2	8	0	1	1
gene_1013	0	0	0	13	7	4	0	13	24	5	4	7
gene_10130	0	0	0	0	0	0	0	1	1	0	0	0
gene_10131	0	0	0	99	53	51	12	111	95	21	31	51
gene_10132	0	0	0	19	5	4	13	21	21	13	25	20
gene_10133	0	0	0	19	18	6	10	23	26	14	48	41
gene_10134	0	0	0	4	1	1	3	16	29	2	15	7
gene_10135	0	0	0	3	1	1	1	10	9	1	1	3
gene_10136	0	0	0	2	6	2	2	9	6	3	5	6
gene_10137	0	0	0	30	7	6	3	15	22	5	4	5
gene_10138	0	0	0	154	57	47	15	116	141	22	34	56
gene_10139	0	0	0	75	30	9	3	43	41	7	8	14
gene_1014	0	0	0	30	10	16	6	34	42	8	17	15
gene_10140	0	0	0	18	8	2	0	14	16	2	9	11
gene_10141	0	0	0	9	3	0	1	6	6	0	2	3
gene_10142	0	0	0	56	30	25	5	42	39	9	23	23
gene_10143	0	0	0	21	7	6	1	16	19	1	4	11
gene_10144	0	0	0	13	5	2	4	16	8	2	2	1
gene_10145	0	0	0	1	1	3	3	5	4	0	2	3
gene_10146	0	0	0	2	0	0	0	1	1	0	0	1
gene_10147	0	0	0	12	9	3	3	18	21	4	4	6
gene_10148	0	0	0	0	0	0	0	2	1	0	0	0
gene_10149	0	0	0	3	0	0	0	1	1	0	2	1
gene_1015	0	0	0	60	36	17	2	26	50	11	21	15
gene_10150	0	0	0	27	9	9	3	19	12	4	4	8
gene_10151	0	0	0	25	23	13	3	34	26	3	12	16
gene_10152	0	0	0	1	0	0	1	57	14	1	1	3
gene_10153	0	0	0	40	47	20	2	27	9	0	11	14
gene_10154	0	0	0	0	1	0	0	0	0	0	0	2
gene_10155	0	0	0	24	12	16	3	18	18	5	5	13
gene_10156	0	0	0	23	11	4	2	13	13	3	4	2
gene_10157	0	0	0	23	15	3	3	14	22	0	7	6
gene_10158	0	0	0	9	14	3	0	3	6	0	3	8
gene_10159	0	0	0	5	1	0	1	2	0	0	1	3
gene_1016	0	0	0	16	9	7	5	23	19	3	11	9
gene_10160	0	0	0	0	0	0	0	5	0	0	0	1
gene_10161	0	0	0	2	3	0	0	1	2	0	0	0
gene_10162	0	0	0	19	6	10	4	16	29	7	12	13
gene_10163	0	0	0	4	2	2	0	5	4	1	0	0
gene_10164	0	0	0	6	3	0	3	12	8	1	7	5
gene_10165	0	0	0	0	1	0	0	1	0	0	0	1
gene_10166	0	0	0	13	3	3	1	0	5	1	0	10
gene_10167	0	0	0	31	11	9	5	50	45	7	14	22
gene_10168	0	0	0	4	3	6	2	46	31	10	23	15
gene_10169	0	0	0	0	0	0	0	0	0	0	0	0
gene_1017	0	0	0	30	22	7	1	29	23	5	11	12
gene_10170	0	0	0	0	1	0	0	3	1	0	0	0
gene_10171	0	0	0	21	22	8	3	41	30	10	10	35
gene_10172	0	0	0	1	0	0	0	0	0	0	0	0
gene_10173	0	0	0	2	0	0	0	1	2	3	0	0
gene_10174	0	0	0	0	0	0	0	0	0	0	0	0
gene_10175	0	0	0	7	2	3	0	10	10	1	2	5
gene_10176	0	0	0	0	0	0	0	0	0	0	0	0
gene_10177	0	0	0	0	0	0	0	0	0	0	0	0
gene_10178	0	0	0	0	0	0	0	0	0	0	0	0
gene_10179	0	0	0	0	0	0	0	0	0	0	0	0
gene_1018	0	0	0	8	7	7	2	10	4	1	4	8
gene_10180	0	0	0	0	0	0	0	0	0	0	0	0
gene_10181	0	0	0	0	0	0	0	0	0	0	0	0
gene_10182	0	0	0	0	0	0	0	0	0	0	0	0
gene_10183	0	0	0	0	0	0	0	0	0	0	0	0
gene_10184	0	0	0	27	6	8	1	7	18	1	4	13
gene_10185	0	0	0	0	0	0	0	0	0	0	0	0
gene_10186	0	0	0	0	0	0	0	0	0	0	0	0
gene_10187	0	0	0	26	12	4	6	12	12	3	0	3
gene_10188	0	0	0	0	0	0	0	0	0	0	0	0
gene_10189	0	0	0	0	0	0	0	0	0	0	0	0
gene_1019	0	0	0	16	8	7	0	10	4	2	3	7
gene_10190	0	0	0	0	0	0	0	1	0	0	0	0
gene_10191	0	0	0	0	0	0	0	0	0	0	0	0
gene_10192	0	0	0	0	0	0	0	0	0	0	0	0
gene_10193	0	0	0	0	0	0	0	0	0	0	0	0
gene_10194	0	0	0	0	0	0	0	0	0	0	0	0
gene_10195	0	0	0	0	0	0	0	0	0	0	0	0
gene_10196	0	0	0	0	0	0	0	0	0	0	0	0
gene_10197	0	0	0	0	0	0	0	0	0	0	0	0
gene_10198	0	0	0	0	0	0	0	0	0	0	0	0
gene_10199	0	0	0	0	0	0	0	0	0	0	0	0
gene_102	0	0	0	0	0	0	0	0	0	0	0	0
gene_1020	0	0	0	1	2	0	0	2	3	2	2	0
gene_10200	0	0	0	0	0	0	0	0	0	0	0	0
gene_10201	0	0	0	0	0	0	0	0	0	0	0	0
gene_10202	0	0	0	0	0	0	0	0	0	0	0	0
gene_10203	0	0	0	0	0	0	0	0	0	0	0	0
gene_10204	0	0	0	0	0	0	0	0	0	0	0	0
gene_10205	0	0	0	0	0	0	0	0	0	0	0	0
gene_10206	0	0	0	0	0	0	0	0	0	0	0	0
gene_10207	0	0	0	0	0	0	0	0	0	0	0	0
gene_10208	0	0	0	0	0	0	0	1	0	0	0	0
gene_10209	0	0	0	570	263	244	206	2018	2674	281	732	742
gene_1021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10210	0	0	0	0	0	0	0	0	0	0	0	0
gene_10211	0	0	0	0	0	0	0	0	0	0	0	0
gene_10212	0	0	0	0	0	0	0	0	0	0	0	0
gene_10213	0	0	0	0	0	0	0	0	0	0	0	0
gene_10214	0	0	0	0	0	0	0	0	0	0	0	0
gene_10215	0	0	0	0	0	0	0	0	0	0	0	0
gene_10216	0	0	0	0	0	0	0	0	0	0	0	0
gene_10217	0	0	0	0	0	0	0	0	0	0	0	0
gene_10218	0	0	0	0	0	0	0	0	0	0	0	0
gene_10219	0	0	0	0	0	0	0	0	0	0	0	0
gene_1022	0	0	0	3	0	2	1	1	2	1	0	5
gene_10220	0	0	0	0	0	0	0	0	0	0	0	0
gene_10221	0	0	0	0	0	0	0	0	0	0	0	0
gene_10222	0	0	0	0	0	0	0	0	0	0	0	0
gene_10223	0	0	0	2	1	1	0	4	0	0	0	1
gene_10224	0	0	0	0	0	0	0	0	0	0	0	0
gene_10225	0	0	0	0	0	0	0	0	0	0	0	0
gene_10226	0	0	0	9	5	2	3	5	6	0	1	1
gene_10227	0	0	0	0	0	0	0	0	0	0	0	0
gene_10228	0	0	0	0	0	0	0	0	0	0	0	0
gene_10229	0	0	0	0	0	0	0	0	0	0	0	0
gene_1023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10230	0	0	0	4	2	1	0	3	3	0	1	1
gene_10231	0	0	0	0	0	0	0	0	0	0	0	0
gene_10232	0	0	0	0	0	0	0	0	0	0	0	0
gene_10233	0	0	0	0	0	0	0	0	0	0	0	0
gene_1024	0	0	0	108	90	48	35	164	172	26	74	78
gene_1025	0	0	0	210	97	73	15	144	137	34	63	67
gene_1026	0	0	0	0	2	0	0	0	0	0	0	0
gene_1027	0	0	0	48	16	7	1	39	16	7	11	20
gene_1028	0	0	0	109	68	15	37	147	95	33	88	68
gene_1029	0	0	0	2	0	0	0	0	1	0	0	0
gene_103	0	0	0	0	0	0	0	0	0	0	0	0
gene_1030	0	0	0	69	45	26	7	32	44	11	20	33
gene_1031	0	0	0	88	46	51	25	278	333	50	97	91
gene_1032	0	0	0	27	7	11	3	22	15	7	4	11
gene_1033	0	0	0	0	1	1	0	0	3	0	0	0
gene_1034	0	0	0	49	40	23	6	40	29	10	15	21
gene_1035	0	0	0	262	183	104	26	197	201	59	76	132
gene_1036	0	0	0	28	14	10	1	19	22	5	3	14
gene_1037	0	0	0	276	170	104	24	195	189	46	97	119
gene_1038	0	0	0	48	17	5	6	18	51	6	14	18
gene_1039	0	0	0	43	7	6	6	33	44	8	12	15
gene_104	0	0	0	0	0	0	0	0	0	0	0	0
gene_1040	0	0	0	239	44	69	22	164	128	30	43	140
gene_1041	0	0	0	60	30	22	3	53	47	11	25	36
gene_1042	0	0	0	32	21	12	1	15	24	7	14	10
gene_1043	0	0	0	30	24	9	1	22	31	2	10	10
gene_1044	0	0	0	113	67	33	13	141	182	30	72	69
gene_1045	0	0	0	19	8	1	2	15	22	7	4	11
gene_1046	0	0	0	3	0	2	1	1	2	0	0	0
gene_1047	0	0	0	0	0	0	0	0	0	0	0	0
gene_1048	0	0	0	1	0	1	2	9	6	0	3	2
gene_1049	0	0	0	12	12	14	3	10	10	2	4	6
gene_105	0	0	0	8	5	3	2	4	2	0	1	4
gene_1050	0	0	0	28	1	7	4	9	23	5	6	9
gene_1051	0	0	0	9	3	3	1	6	2	1	3	3
gene_1052	0	0	0	7	7	2	1	8	1	0	3	1
gene_1053	0	0	0	36	22	14	5	26	37	3	8	14
gene_1054	0	0	0	24	9	19	4	32	35	4	5	11
gene_1055	0	0	0	3	1	2	1	10	9	4	3	3
gene_1056	0	0	0	20	13	10	2	23	29	5	2	12
gene_1057	0	0	0	0	0	0	0	1	3	0	1	1
gene_1058	0	0	0	19	13	13	0	4	7	1	4	12
gene_1059	0	0	0	263	173	76	16	161	206	35	49	117
gene_106	0	0	0	28	13	10	2	18	11	1	5	7
gene_1060	0	0	0	113	74	37	4	47	64	22	35	42
gene_1061	0	0	0	8	2	3	2	3	6	1	1	5
gene_1062	0	0	0	9	4	1	3	9	12	4	4	5
gene_1063	0	0	0	5	0	9	1	4	4	3	1	2
gene_1064	0	0	0	25	9	4	0	11	10	1	9	5
gene_1065	0	0	0	38	10	13	0	19	33	14	16	22
gene_1066	0	0	0	278	149	84	38	198	274	51	77	107
gene_1067	0	0	0	93	40	32	10	73	84	15	26	38
gene_1068	0	0	0	39	30	11	7	33	38	10	18	14
gene_1069	0	0	0	0	0	0	0	0	0	0	0	0
gene_107	0	0	0	90	60	42	8	55	71	23	31	45
gene_1070	0	0	0	1	0	1	0	0	0	0	0	1
gene_1071	0	0	0	9	0	2	1	10	3	2	3	4
gene_1072	0	0	0	7	6	1	0	7	13	2	4	3
gene_1073	0	0	0	0	1	0	0	1	3	0	0	2
gene_1074	0	0	0	9	4	3	0	11	12	0	2	3
gene_1075	0	0	0	71	21	28	3	30	41	12	13	21
gene_1076	0	0	0	137	47	33	27	166	170	41	79	94
gene_1077	0	0	0	11	8	4	1	14	11	5	9	7
gene_1078	0	0	0	43	17	8	1	6	13	5	6	7
gene_1079	0	0	0	74	40	34	5	75	54	22	37	37
gene_108	0	0	0	39	17	16	5	21	24	8	7	18
gene_1080	0	0	0	45	21	17	2	42	48	12	14	31
gene_1081	0	0	0	1	3	1	0	0	1	0	0	1
gene_1082	0	0	0	19	11	8	1	11	6	1	3	9
gene_1083	0	0	0	0	0	0	0	3	2	0	0	0
gene_1084	0	0	0	49	32	6	4	20	35	3	8	14
gene_1085	0	0	0	9	10	6	1	20	27	2	4	13
gene_1086	0	0	0	4	5	3	5	8	9	4	6	6
gene_1087	0	0	0	12	5	1	0	1	4	1	3	4
gene_1088	0	0	0	100	35	26	2	25	32	26	29	38
gene_1089	0	0	0	16	15	3	2	15	16	1	1	5
gene_109	0	0	0	46	21	9	3	19	23	8	11	7
gene_1090	0	0	0	38	18	12	4	32	33	4	17	25
gene_1091	0	0	0	48	24	16	9	50	51	11	24	39
gene_1092	0	0	0	25	19	11	2	18	21	1	9	13
gene_1093	0	0	0	42	26	9	1	20	19	5	21	13
gene_1094	0	0	0	0	0	0	0	0	0	0	0	0
gene_1095	0	0	0	9	1	3	0	8	6	0	1	0
gene_1096	0	0	0	13	9	6	1	7	9	2	1	3
gene_1097	0	0	0	6	3	2	1	2	6	2	3	1
gene_1098	0	0	0	28	14	15	1	20	19	4	16	18
gene_1099	0	0	0	266	134	84	24	152	188	43	60	114
gene_11	0	0	0	40	27	13	4	45	47	12	5	23
gene_110	0	0	0	19	8	6	0	17	17	3	4	5
gene_1100	0	0	0	83	43	24	9	35	48	14	23	32
gene_1101	0	0	0	244	157	101	25	132	179	55	66	132
gene_1102	0	0	0	2	3	0	0	1	0	0	2	4
gene_1103	0	0	0	54	63	15	4	42	24	7	24	20
gene_1104	0	0	0	4	4	3	0	3	8	0	0	2
gene_1105	0	0	0	23	14	7	3	14	11	2	7	8
gene_1106	0	0	0	41	40	33	10	40	27	7	22	18
gene_1107	0	0	0	13	8	8	4	13	24	3	6	2
gene_1108	0	0	0	12	5	6	4	34	26	10	4	16
gene_1109	0	0	0	71	38	37	13	64	61	19	17	36
gene_111	0	0	0	0	0	0	0	0	0	0	0	0
gene_1110	0	0	0	2	2	1	0	0	1	0	1	0
gene_1111	0	0	0	16	4	5	4	16	13	3	4	5
gene_1112	0	0	0	1	0	1	0	0	0	0	0	0
gene_1113	0	0	0	118	53	44	6	69	71	19	27	43
gene_1114	0	0	0	0	1	0	1	2	2	2	0	2
gene_1115	0	0	0	108	66	30	12	82	89	24	43	64
gene_1116	0	0	0	18	6	13	0	15	12	3	3	12
gene_1117	0	0	0	13	6	3	1	7	10	1	5	9
gene_1118	0	0	0	51	9	25	5	27	39	12	14	15
gene_1119	0	0	0	63	33	14	9	40	61	10	9	28
gene_112	0	0	0	0	0	0	0	0	0	0	0	0
gene_1120	0	0	0	114	64	43	18	74	131	21	44	61
gene_1121	0	0	0	0	0	0	0	0	0	0	0	0
gene_1122	0	0	0	0	0	0	0	0	0	0	0	0
gene_1123	0	0	0	102	36	26	17	104	154	20	32	49
gene_1124	0	0	0	19	13	2	1	15	9	1	3	6
gene_1125	0	0	0	15	17	3	1	12	11	1	14	11
gene_1126	0	0	0	25	5	7	0	7	10	6	1	4
gene_1127	0	0	0	15	4	5	0	6	22	1	7	10
gene_1128	0	0	0	96	33	13	7	43	79	8	26	31
gene_1129	0	0	0	0	1	0	2	22	4	2	11	7
gene_113	0	0	0	6	3	1	0	1	1	0	2	1
gene_1130	0	0	0	3	0	1	0	4	4	1	1	3
gene_1131	0	0	0	199	503	94	16	243	123	24	76	94
gene_1132	0	0	0	25	13	5	2	15	21	9	5	7
gene_1133	0	0	0	0	0	0	0	0	0	0	0	0
gene_1134	0	0	0	12	7	3	0	6	10	1	4	6
gene_1135	0	0	0	23	13	13	3	20	29	4	10	17
gene_1136	0	0	0	43	29	12	4	32	36	6	8	19
gene_1137	0	0	0	11	6	4	2	8	3	0	4	5
gene_1138	0	0	0	23	16	11	0	14	13	2	9	1
gene_1139	0	0	0	2	1	1	0	1	3	0	1	0
gene_114	0	0	0	126	77	41	15	60	71	10	18	35
gene_1140	0	0	0	2	2	3	4	5	3	0	3	2
gene_1141	0	0	0	33	14	5	7	21	20	5	2	13
gene_1142	0	0	0	32	16	12	4	30	15	14	13	6
gene_1143	0	0	0	27	13	8	3	22	30	8	14	20
gene_1144	0	0	0	19	3	9	1	20	20	6	10	17
gene_1145	0	0	0	0	0	1	0	0	0	0	0	0
gene_1146	0	0	0	6	0	2	0	6	5	0	0	2
gene_1147	0	0	0	0	0	0	0	0	0	0	0	0
gene_1148	0	0	0	0	0	0	0	0	0	0	0	0
gene_1149	0	0	0	72	22	13	4	19	22	4	7	5
gene_115	0	0	0	29	15	8	3	13	29	1	9	6
gene_1150	0	0	0	14	6	3	1	3	11	1	1	2
gene_1151	0	0	0	17	8	5	0	24	24	4	8	15
gene_1152	0	0	0	6	4	5	3	17	10	9	13	15
gene_1153	0	0	0	6	8	2	1	1	1	0	0	0
gene_1154	0	0	0	7	0	5	0	7	4	0	6	5
gene_1155	0	0	0	44	21	19	1	13	51	3	10	8
gene_1156	0	0	0	0	0	0	0	0	0	0	0	0
gene_1157	0	0	0	371	321	149	25	196	285	20	41	73
gene_1158	0	0	0	32	12	6	3	23	28	8	6	13
gene_1159	0	0	0	28	28	15	8	54	39	20	20	28
gene_116	0	0	0	0	0	0	0	0	0	0	0	0
gene_1160	0	0	0	123	73	34	7	107	92	17	37	64
gene_1161	0	0	0	18	15	10	1	7	11	2	6	12
gene_1162	0	0	0	12	14	6	3	4	11	0	7	4
gene_1163	0	0	0	25	14	10	0	14	12	3	6	14
gene_1164	0	0	0	21	12	8	6	15	14	4	9	16
gene_1165	0	0	0	1190	463	469	238	1660	1651	414	738	1129
gene_1166	0	0	0	5	2	2	0	1	2	1	0	0
gene_1167	0	0	0	11	9	3	1	16	17	2	5	4
gene_1168	0	0	0	6	4	6	3	15	12	2	1	18
gene_1169	0	0	0	27	14	11	1	39	47	8	15	15
gene_117	0	0	0	62	3	32	1	32	18	8	5	37
gene_1170	0	0	0	22	8	2	5	12	24	9	10	16
gene_1171	0	0	0	10	8	3	2	4	9	1	12	6
gene_1172	0	0	0	7	7	0	1	6	7	1	2	2
gene_1173	0	0	0	1	0	2	3	2	0	0	3	2
gene_1174	0	0	0	51	30	23	6	38	22	5	11	14
gene_1175	0	0	0	3	1	2	0	7	7	0	2	7
gene_1176	0	0	0	2	2	1	0	2	6	6	2	2
gene_1177	0	0	0	46	22	7	4	24	33	3	9	13
gene_1178	0	0	0	23	20	15	7	17	24	2	11	18
gene_1179	0	0	0	2	0	0	0	3	2	1	0	2
gene_118	0	0	0	12	0	7	1	3	2	3	1	2
gene_1180	0	0	0	35	23	17	2	32	27	6	7	19
gene_1181	0	0	0	41	23	7	4	61	75	11	24	33
gene_1182	0	0	0	4	9	6	0	12	8	4	3	7
gene_1183	0	0	0	39	10	13	1	20	41	4	6	9
gene_1184	0	0	0	20	4	7	1	19	21	1	6	11
gene_1185	0	0	0	10	1	3	11	37	58	8	14	11
gene_1186	0	0	0	7	4	3	1	4	5	0	0	2
gene_1187	0	0	0	105	16	28	7	71	45	19	25	97
gene_1188	0	0	0	28	9	8	1	12	12	2	5	6
gene_1189	0	0	0	22	13	9	4	20	28	4	7	11
gene_119	0	0	0	37	19	13	4	11	18	2	6	7
gene_1190	0	0	0	18	0	4	5	20	17	1	9	13
gene_1191	0	0	0	19	12	13	2	19	17	7	3	19
gene_1192	0	0	0	0	0	0	0	0	0	0	0	0
gene_1193	0	0	0	21	12	8	0	6	11	4	1	3
gene_1194	0	0	0	48	14	13	3	26	42	7	10	13
gene_1195	0	0	0	4	4	0	0	0	0	0	0	0
gene_1196	0	0	0	26	12	3	1	12	15	1	9	6
gene_1197	0	0	0	96	35	20	4	59	81	22	25	49
gene_1198	0	0	0	29	7	12	8	42	60	15	17	21
gene_1199	0	0	0	0	0	0	0	0	0	0	0	0
gene_12	0	0	0	29	25	11	2	28	25	0	7	18
gene_120	0	0	0	5	2	1	1	0	6	0	0	5
gene_1200	0	0	0	0	0	0	0	0	0	0	0	0
gene_1201	0	0	0	6	5	3	1	4	4	0	3	1
gene_1202	0	0	0	2	1	0	0	0	2	0	0	0
gene_1203	0	0	0	0	0	0	0	0	0	0	0	0
gene_1204	0	0	0	2	0	1	0	0	8	1	0	1
